EmployeeId,Name,HireDate,Salary
1,Jane Smith,1/1/2023,64356.17
x,Jane Smith,1/2/2023,60383.38
3,Jane Smith,1/3/2023,50776.76
4,Chris Lee,1/4/2023,50751.41
5,Alice Brown,1/5/2023,68824.45
6,Alice Brown,1/6/2023,55113.74
7,John Doe,1/7/2023,60489.41
8,Chris Lee,1/8/2023,66722.1
9,John Doe,1/9/2023,64824.24
10,Bob Johnson,1/10/2023,65342.57
11,Jane Smith,1/11/2023,53601.49
12,Jane Smith,1/12/2023,55303.13
13,Alice Brown,1/13/2023,59475.62
14,John Doe,1/14/2023,68808.55
15,Chris Lee,1/15/2023,50684.33
16,Jane Smith,1/16/2023,66954.4
17,Chris Lee,1/17/2023,66945.39
18,Bob Johnson,1/18/2023,66059.7
19,Alice Brown,1/19/2023,67274.01
20,Bob Johnson,1/20/2023,60850.63
21,Bob Johnson,1/21/2023,61365.73
22,Jane Smith,1/22/2023,66258.07
23,Jane Smith,1/23/2023,54483.38
24,Chris Lee,1/24/2023,66022.49
25,Jane Smith,1/25/2023,59008.56
26,Chris Lee,1/26/2023,63713.47
27,Chris Lee,1/27/2023,62609.26
28,Chris Lee,1/28/2023,68701.69
29,Chris Lee,1/29/2023,61252.05
30,Bob Johnson,1/30/2023,63224
31,Bob Johnson,1/31/2023,57568.73
32,Chris Lee,2/1/2023,56558.49
33,Chris Lee,2/2/2023,60505.52
34,Bob Johnson,2/3/2023,66037.93
35,John Doe,2/4/2023,67523.92
36,Chris Lee,2/5/2023,59067.97
37,John Doe,2/6/2023,69578.35
38,Jane Smith,2/7/2023,53324.03
39,Chris Lee,2/8/2023,64659.35
40,John Doe,2/9/2023,68905.6
41,Chris Lee,2/10/2023,65926.17
42,Jane Smith,2/11/2023,58007.32
43,John Doe,2/12/2023,59863.87
44,Chris Lee,2/13/2023,66810.91
45,Chris Lee,2/14/2023,56457.59
46,Jane Smith,2/15/2023,55008.26
47,Alice Brown,2/16/2023,62431.99
48,Jane Smith,2/17/2023,51285.26
49,Jane Smith,2/18/2023,63543.07
50,Bob Johnson,2/19/2023,66993.85
51,Chris Lee,2/20/2023,53560.36
52,Alice Brown,2/21/2023,53517.92
53,Chris Lee,2/22/2023,63413
54,Alice Brown,2/23/2023,54274.93
55,John Doe,2/24/2023,61541.34
56,Bob Johnson,2/25/2023,68497.65
57,Bob Johnson,2/26/2023,67733.21
58,John Doe,2/27/2023,51245.7
59,John Doe,2/28/2023,57027.87
60,Alice Brown,3/1/2023,55646.73
61,Chris Lee,3/2/2023,61167.57
62,John Doe,3/3/2023,55891.31
63,Chris Lee,3/4/2023,59759.15
64,Jane Smith,3/5/2023,58134.72
65,Chris Lee,3/6/2023,64338.97
66,Jane Smith,3/7/2023,54898.03
67,Alice Brown,3/8/2023,61900.64
68,Jane Smith,3/9/2023,68818.21
69,Jane Smith,3/10/2023,68890.57
70,Chris Lee,3/11/2023,62720.03
71,Jane Smith,3/12/2023,63758.58
72,Alice Brown,3/13/2023,60608.27
73,John Doe,3/14/2023,62971.08
74,Bob Johnson,3/15/2023,51077.4
75,Chris Lee,3/16/2023,52588.56
76,Alice Brown,3/17/2023,60831.65
77,Alice Brown,3/18/2023,50914.07
78,Chris Lee,3/19/2023,62588.51
79,Jane Smith,3/20/2023,57690.64
80,Jane Smith,3/21/2023,60468.4
81,Jane Smith,3/22/2023,65087.33
82,John Doe,3/23/2023,60509.74
83,Alice Brown,3/24/2023,69881.12
84,Alice Brown,3/25/2023,61336.13
85,Chris Lee,3/26/2023,53266.69
86,Alice Brown,3/27/2023,59838.68
87,Jane Smith,3/28/2023,69915.48
88,Bob Johnson,3/29/2023,69151.09
89,Jane Smith,3/30/2023,53217.09
90,Chris Lee,3/31/2023,65036.14
91,Chris Lee,4/1/2023,68526.76
92,Jane Smith,4/2/2023,56074.38
93,Bob Johnson,4/3/2023,55088.83
94,Bob Johnson,4/4/2023,65495.64
95,Chris Lee,4/5/2023,51749.18
96,Chris Lee,4/6/2023,69361.88
97,Alice Brown,4/7/2023,52239
98,Alice Brown,4/8/2023,57491.52
99,Bob Johnson,4/9/2023,69918.83
100,Chris Lee,4/10/2023,56754.03
