EmployeeId,Name,HireDate,Salary,Salutation,Gender
x,Alice Brown,6/1/2023,69098.83,Ms.,y
2,Jane Smith,7/5/2023,64538.05,Mrs.,female
3,John Doe,10/24/2023,64153.95,Ms.,male
4,Bob Johnson,11/4/2021,66801.44,Mr.,female
5,Bob Johnson,12/17/2022,58049.49,Mr.,x
6,Alice Brown,9/5/2022,63173.22,Mrs.,male
7,Jane Smith,9/12/2022,65824.66,Mr.,u
8,Jane Smith,5/5/2023,62216.49,Dr.,female
9,Bob Johnson,8/28/2023,67395.05,Mx.,male
10,Jane Smith,11/30/2021,56787.6,Mrs.,female
11,Jane Smith,3/14/2022,57936.07,Mx.,u
12,Alice Brown,8/18/2023,63053.64,Mr.,male
13,Bob Johnson,5/25/2023,50620.63,Ms.,u
14,John Doe,9/15/2023,51373.24,Ms.,u
15,Chris Lee,12/6/2022,62705.39,Mx.,u
16,Alice Brown,9/23/2023,56093.72,Dr.,female
17,Alice Brown,1/19/2022,68677.95,Mx.,u
18,John Doe,7/30/2021,52898.44,Mx.,female
19,Alice Brown,1/15/2023,64498.49,Mr.,female
20,John Doe,9/29/2022,69762.98,Mx.,female
21,John Doe,1/7/2023,58534.21,Mrs.,female
22,Chris Lee,8/14/2023,58455.91,Mx.,x
23,John Doe,9/6/2021,61074.87,Mx.,x
24,Alice Brown,8/13/2022,61296.83,Mr.,male
25,John Doe,3/18/2023,51825.63,Ms.,u
26,Alice Brown,3/29/2023,68217.96,Mx.,x
27,Jane Smith,3/17/2022,51876.25,Dr.,u
28,John Doe,10/11/2021,67194.77,Ms.,female
29,Jane Smith,4/22/2022,63133.73,Dr.,male
30,Chris Lee,8/8/2021,63071.25,Ms.,u
31,Bob Johnson,1/16/2022,58776.42,Mrs.,x
32,Bob Johnson,8/11/2022,59889.48,Dr.,u
33,Chris Lee,12/15/2021,68550.53,Mx.,u
34,Bob Johnson,11/9/2021,55816.16,Mrs.,x
35,John Doe,9/4/2023,54287.79,Ms.,u
36,Alice Brown,12/4/2022,56214.69,Mx.,male
37,Bob Johnson,11/6/2021,62968.66,Dr.,female
38,Bob Johnson,7/19/2023,50404.37,Mrs.,u
39,Bob Johnson,10/30/2021,69325.31,Ms.,female
40,Chris Lee,12/3/2021,61770.59,Mrs.,male
41,Bob Johnson,9/28/2021,68495.17,Ms.,male
42,Bob Johnson,5/1/2023,55931.95,Ms.,x
43,Bob Johnson,10/10/2022,61907.23,Ms.,female
44,Jane Smith,9/8/2021,55698.43,Mr.,male
45,Jane Smith,4/24/2022,63790.93,Ms.,male
