EmployeeId,PassportID,PassportCountry,PassportIssuingAuthority,DateOfBirth,Gender
1,010001000,Germany,Home Office,2004-04-21,fsdfsdfsd
2,010001001,Canada,Dept of Foreign Affairs,2004-04-01,female
3,010001002,USA,Home Office,2004-03-12,x
4,010001003,UK,Federal Foreign Office,2004-02-21,x
5,010001004,Germany,Passport Canada,2004-02-01,x
6,010001005,UK,Home Office,2004-01-12,female
7,010001006,Australia,Dept of Foreign Affairs,2003-12-23,female
8,010001007,UK,Federal Foreign Office,2003-12-03,male
9,010001008,UK,Federal Foreign Office,2003-11-13,male
10,010001009,Canada,Dept of State,2003-10-24,male
11,010001010,Germany,Dept of State,2003-10-04,x
12,010001011,Canada,Dept of Foreign Affairs,2003-09-14,x
13,010001012,Australia,Dept of Foreign Affairs,2003-08-25,u
14,010001013,USA,Passport Canada,2003-08-05,female
15,010001014,USA,Dept of Foreign Affairs,2003-07-16,x
16,010001015,Germany,Federal Foreign Office,2003-06-26,u
17,010001016,USA,Dept of State,2003-06-06,x
18,010001017,Australia,Dept of Foreign Affairs,2003-05-17,u
19,010001018,Canada,Dept of Foreign Affairs,2003-04-27,x
20,010001019,UK,Federal Foreign Office,2003-04-07,u
21,010001020,Germany,Federal Foreign Office,2003-03-18,male
22,010001021,UK,Passport Canada,2003-02-26,female
23,010001022,Canada,Passport Canada,2003-02-06,male
24,010001023,USA,Federal Foreign Office,2003-01-17,x
25,010001024,Canada,Passport Canada,2002-12-28,male
26,010001025,Australia,Home Office,2002-12-08,male
27,010001026,UK,Federal Foreign Office,2002-11-18,female
28,010001027,Australia,Home Office,2002-10-29,x
29,010001028,UK,Dept of Foreign Affairs,2002-10-09,male
30,010001029,UK,Dept of Foreign Affairs,2002-09-19,male
31,010001030,Canada,Home Office,2002-08-30,female
32,010001031,Canada,Federal Foreign Office,2002-08-10,female
33,010001032,Germany,Home Office,2002-07-21,x
34,010001033,USA,Federal Foreign Office,2002-07-01,u
35,010001034,USA,Home Office,2002-06-11,u
36,010001035,UK,Dept of Foreign Affairs,2002-05-22,x
37,010001036,UK,Dept of State,2002-05-02,female
38,010001037,Australia,Dept of Foreign Affairs,2002-04-12,u
39,010001038,USA,Dept of Foreign Affairs,2002-03-23,u
40,010001039,Germany,Home Office,2002-03-03,male
41,010001040,UK,Passport Canada,2002-02-11,x
42,010001041,UK,Dept of Foreign Affairs,2002-01-22,x
43,010001042,USA,Federal Foreign Office,2002-01-02,female
44,010001043,Germany,Federal Foreign Office,2001-12-13,u
45,010001044,Germany,Dept of Foreign Affairs,2001-11-23,x
46,010001045,Australia,Dept of State,2001-11-03,x
47,010001046,Germany,Federal Foreign Office,2001-10-14,u
48,010001047,Australia,Federal Foreign Office,2001-09-24,male
49,010001048,USA,Home Office,2001-09-04,u
50,010001049,UK,Home Office,2001-08-15,u
51,010001050,Canada,Home Office,2001-07-26,u
52,010001051,USA,Passport Canada,2001-07-06,u
53,010001052,USA,Federal Foreign Office,2001-06-16,female
54,010001053,UK,Dept of Foreign Affairs,2001-05-27,male
55,010001054,Germany,Dept of Foreign Affairs,2001-05-07,female
56,010001055,Germany,Passport Canada,2001-04-17,x
57,010001056,Canada,Dept of State,2001-03-28,male
58,010001057,USA,Dept of State,2001-03-08,female
59,010001058,Canada,Passport Canada,2001-02-16,male
60,010001059,Canada,Dept of Foreign Affairs,2001-01-27,female
61,010001060,Canada,Federal Foreign Office,2001-01-07,u
62,010001061,USA,Dept of Foreign Affairs,2000-12-18,female
63,010001062,Canada,Dept of Foreign Affairs,2000-11-28,male
64,010001063,Australia,Federal Foreign Office,2000-11-08,u
65,010001064,USA,Passport Canada,2000-10-19,u
66,010001065,Canada,Dept of Foreign Affairs,2000-09-29,u
67,010001066,Australia,Passport Canada,2000-09-09,female
68,010001067,USA,Federal Foreign Office,2000-08-20,male
69,010001068,Australia,Dept of State,2000-07-31,u
70,010001069,Germany,Dept of Foreign Affairs,2000-07-11,female
71,010001070,Australia,Dept of Foreign Affairs,2000-06-21,u
72,010001071,USA,Federal Foreign Office,2000-06-01,u
73,010001072,Australia,Federal Foreign Office,2000-05-12,u
74,010001073,Canada,Dept of State,2000-04-22,male
75,010001074,Germany,Dept of State,2000-04-02,male
76,010001075,USA,Federal Foreign Office,2000-03-13,male
77,010001076,Germany,Dept of State,2000-02-22,female
78,010001077,Canada,Passport Canada,2000-02-02,male
79,010001078,Canada,Dept of State,2000-01-13,female
80,010001079,Australia,Federal Foreign Office,1999-12-24,x
81,010001080,Canada,Dept of Foreign Affairs,1999-12-04,male
82,010001081,Germany,Dept of State,1999-11-14,male
83,010001082,Germany,Home Office,1999-10-25,x
84,010001083,Germany,Federal Foreign Office,1999-10-05,x
85,010001084,USA,Dept of State,1999-09-15,x
86,010001085,Australia,Dept of State,1999-08-26,male
87,010001086,UK,Dept of Foreign Affairs,1999-08-06,u
88,010001087,Germany,Dept of State,1999-07-17,x
89,010001088,Australia,Passport Canada,1999-06-27,x
90,010001089,Germany,Federal Foreign Office,1999-06-07,x
91,010001090,Australia,Federal Foreign Office,1999-05-18,x
92,010001091,USA,Home Office,1999-04-28,x
93,010001092,Canada,Passport Canada,1999-04-08,male
94,010001093,UK,Home Office,1999-03-19,male
95,010001094,Germany,Passport Canada,1999-02-27,female
96,010001095,Australia,Passport Canada,1999-02-07,u
97,010001096,Australia,Passport Canada,1999-01-18,u
98,010001097,UK,Dept of Foreign Affairs,1998-12-29,male
99,010001098,Germany,Federal Foreign Office,1998-12-09,female
100,010001099,Canada,Federal Foreign Office,1998-11-19,u
