EmployeeId,PassportID,PassportCountry,PassportIssuingAuthority,DateOfBirth,Gender
1,Passport1000,Germany,Home Office,2004-04-21,u
2,Passport1001,Canada,Dept of Foreign Affairs,2004-04-01,female
3,Passport1002,USA,Home Office,2004-03-12,x
4,Passport1003,UK,Federal Foreign Office,2004-02-21,x
5,Passport1004,Germany,Passport Canada,2004-02-01,x
6,Passport1005,UK,Home Office,2004-01-12,female
7,Passport1006,Australia,Dept of Foreign Affairs,2003-12-23,female
8,Passport1007,UK,Federal Foreign Office,2003-12-03,male
9,Passport1008,UK,Federal Foreign Office,2003-11-13,male
10,Passport1009,Canada,Dept of State,2003-10-24,male
11,Passport1010,Germany,Dept of State,2003-10-04,x
12,Passport1011,Canada,Dept of Foreign Affairs,2003-09-14,x
13,Passport1012,Australia,Dept of Foreign Affairs,2003-08-25,u
14,Passport1013,USA,Passport Canada,2003-08-05,female
15,Passport1014,USA,Dept of Foreign Affairs,2003-07-16,x
16,Passport1015,Germany,Federal Foreign Office,2003-06-26,u
17,Passport1016,USA,Dept of State,2003-06-06,x
18,Passport1017,Australia,Dept of Foreign Affairs,2003-05-17,u
19,Passport1018,Canada,Dept of Foreign Affairs,2003-04-27,x
20,Passport1019,UK,Federal Foreign Office,2003-04-07,u
21,Passport1020,Germany,Federal Foreign Office,2003-03-18,male
22,Passport1021,UK,Passport Canada,2003-02-26,female
23,Passport1022,Canada,Passport Canada,2003-02-06,male
24,Passport1023,USA,Federal Foreign Office,2003-01-17,x
25,Passport1024,Canada,Passport Canada,2002-12-28,male
26,Passport1025,Australia,Home Office,2002-12-08,male
27,Passport1026,UK,Federal Foreign Office,2002-11-18,female
28,Passport1027,Australia,Home Office,2002-10-29,x
29,Passport1028,UK,Dept of Foreign Affairs,2002-10-09,male
30,Passport1029,UK,Dept of Foreign Affairs,2002-09-19,male
31,Passport1030,Canada,Home Office,2002-08-30,female
32,Passport1031,Canada,Federal Foreign Office,2002-08-10,female
33,Passport1032,Germany,Home Office,2002-07-21,x
34,Passport1033,USA,Federal Foreign Office,2002-07-01,u
35,Passport1034,USA,Home Office,2002-06-11,u
36,Passport1035,UK,Dept of Foreign Affairs,2002-05-22,x
37,Passport1036,UK,Dept of State,2002-05-02,female
38,Passport1037,Australia,Dept of Foreign Affairs,2002-04-12,u
39,Passport1038,USA,Dept of Foreign Affairs,2002-03-23,u
40,Passport1039,Germany,Home Office,2002-03-03,male
41,Passport1040,UK,Passport Canada,2002-02-11,x
42,Passport1041,UK,Dept of Foreign Affairs,2002-01-22,x
43,Passport1042,USA,Federal Foreign Office,2002-01-02,female
44,Passport1043,Germany,Federal Foreign Office,2001-12-13,u
45,Passport1044,Germany,Dept of Foreign Affairs,2001-11-23,x
46,Passport1045,Australia,Dept of State,2001-11-03,x
47,Passport1046,Germany,Federal Foreign Office,2001-10-14,u
48,Passport1047,Australia,Federal Foreign Office,2001-09-24,male
49,Passport1048,USA,Home Office,2001-09-04,u
50,Passport1049,UK,Home Office,2001-08-15,u
51,Passport1050,Canada,Home Office,2001-07-26,u
52,Passport1051,USA,Passport Canada,2001-07-06,u
53,Passport1052,USA,Federal Foreign Office,2001-06-16,female
54,Passport1053,UK,Dept of Foreign Affairs,2001-05-27,male
55,Passport1054,Germany,Dept of Foreign Affairs,2001-05-07,female
56,Passport1055,Germany,Passport Canada,2001-04-17,x
57,Passport1056,Canada,Dept of State,2001-03-28,male
58,Passport1057,USA,Dept of State,2001-03-08,female
59,Passport1058,Canada,Passport Canada,2001-02-16,male
60,Passport1059,Canada,Dept of Foreign Affairs,2001-01-27,female
61,Passport1060,Canada,Federal Foreign Office,2001-01-07,u
62,Passport1061,USA,Dept of Foreign Affairs,2000-12-18,female
63,Passport1062,Canada,Dept of Foreign Affairs,2000-11-28,male
64,Passport1063,Australia,Federal Foreign Office,2000-11-08,u
65,Passport1064,USA,Passport Canada,2000-10-19,u
66,Passport1065,Canada,Dept of Foreign Affairs,2000-09-29,u
67,Passport1066,Australia,Passport Canada,2000-09-09,female
68,Passport1067,USA,Federal Foreign Office,2000-08-20,male
69,Passport1068,Australia,Dept of State,2000-07-31,u
70,Passport1069,Germany,Dept of Foreign Affairs,2000-07-11,female
71,Passport1070,Australia,Dept of Foreign Affairs,2000-06-21,u
72,Passport1071,USA,Federal Foreign Office,2000-06-01,u
73,Passport1072,Australia,Federal Foreign Office,2000-05-12,u
74,Passport1073,Canada,Dept of State,2000-04-22,male
75,Passport1074,Germany,Dept of State,2000-04-02,male
76,Passport1075,USA,Federal Foreign Office,2000-03-13,male
77,Passport1076,Germany,Dept of State,2000-02-22,female
78,Passport1077,Canada,Passport Canada,2000-02-02,male
79,Passport1078,Canada,Dept of State,2000-01-13,female
80,Passport1079,Australia,Federal Foreign Office,1999-12-24,x
81,Passport1080,Canada,Dept of Foreign Affairs,1999-12-04,male
82,Passport1081,Germany,Dept of State,1999-11-14,male
83,Passport1082,Germany,Home Office,1999-10-25,x
84,Passport1083,Germany,Federal Foreign Office,1999-10-05,x
85,Passport1084,USA,Dept of State,1999-09-15,x
86,Passport1085,Australia,Dept of State,1999-08-26,male
87,Passport1086,UK,Dept of Foreign Affairs,1999-08-06,u
88,Passport1087,Germany,Dept of State,1999-07-17,x
89,Passport1088,Australia,Passport Canada,1999-06-27,x
90,Passport1089,Germany,Federal Foreign Office,1999-06-07,x
91,Passport1090,Australia,Federal Foreign Office,1999-05-18,x
92,Passport1091,USA,Home Office,1999-04-28,x
93,Passport1092,Canada,Passport Canada,1999-04-08,male
94,Passport1093,UK,Home Office,1999-03-19,male
95,Passport1094,Germany,Passport Canada,1999-02-27,female
96,Passport1095,Australia,Passport Canada,1999-02-07,u
97,Passport1096,Australia,Passport Canada,1999-01-18,u
98,Passport1097,UK,Dept of Foreign Affairs,1998-12-29,male
99,Passport1098,Germany,Federal Foreign Office,1998-12-09,female
100,Passport1099,Canada,Federal Foreign Office,1998-11-19,u
